PD,Raw_Capacity,Final_Limit,Risk_Haircut_Pct
0.51830786,9995.151,4814.586,51.830788
0.13682656,6504.439,5614.459,13.682656
0.16549778,7989.812,6667.5156,16.549778
0.13596244,19997.988,17279.014,13.596244
0.5158634,14980.48,7252.5986,51.58634
0.6372895,4997.573,1812.6721,63.72895
0.38498262,15991.29,9834.922,38.49826
0.40765685,34974.18,20716.715,40.765686
0.5831697,9997.873,4167.4165,58.31697
0.5080109,16006.355,7874.952,50.801094
0.57306033,15010.068,6408.3936,57.306034
0.51532054,7994.3574,3874.701,51.532055
0.4907142,5997.4673,3054.425,49.07142
0.3923684,4992.0215,3033.3098,39.23684
0.59100723,17443.445,7134.243,59.100723
0.4539922,23903.371,13051.428,45.39922
0.38372368,10816.666,6666.055,38.372368
0.3403336,9997.531,6595.0356,34.03336
0.060363524,24995.902,23487.06,6.036352
0.32805648,10272.458,6902.5117,32.80565
0.26835084,5003.536,3660.833,26.835083
0.30334222,6880.388,4793.276,30.334223
0.71798366,9998.715,2819.801,71.79836
0.5273139,11021.877,5209.888,52.731388
0.37670958,14477.776,9023.859,37.67096
0.61169803,10682.283,4147.9517,61.169804
0.35882083,6262.0923,4015.1233,35.882084
0.4198294,7231.389,4195.4395,41.98294
0.55086076,11011.063,4945.5005,55.086075
0.42732584,9996.65,5724.823,42.732586
0.5451606,7503.6636,3412.962,54.51606
0.7686836,14992.172,3467.935,76.86836
0.60849196,10003.719,3916.5364,60.849197
0.36876056,12005.574,7578.3916,36.876057
0.5040758,12003.458,5952.805,50.40758
0.6428032,20343.941,7266.791,64.28032
0.20697848,6003.0884,4760.578,20.69785
0.16873865,2525.2754,2099.1638,16.873865
0.4974319,7004.389,3520.1826,49.74319
0.58381176,5892.331,2452.3188,58.381176
0.47720087,10000.109,5228.0483,47.720085
0.6674181,29795.588,9909.473,66.74181
0.7319,30031.965,8051.5703,73.189995
0.30126822,30010.336,20969.176,30.126822
0.29452828,24001.23,16932.19,29.452827
0.22597125,8997.618,6964.4155,22.597126
0.2829874,9498.529,6810.5654,28.298738
0.20482956,16505.998,13125.081,20.482956
0.053433433,2013.4775,1905.8905,5.3433433
0.41047,19952.982,11762.882,41.047
0.29389533,4046.418,2857.1946,29.389534
0.73953795,32591.645,8488.887,73.9538
0.29933444,2017.5674,1413.64,29.933443
0.77504194,21568.088,4851.915,77.504196
0.16340002,24001.482,20079.639,16.340002
0.44995973,3006.2412,1653.5537,44.99597
0.52527237,6410.6016,3043.2898,52.527237
0.38708654,9998.637,6128.2993,38.708652
0.31816205,23996.96,16362.038,31.816206
0.18186219,7994.665,6540.738,18.186218
0.56510794,9579.356,4165.986,56.510796
0.2756236,35011.832,25361.746,27.562359
0.5058231,7228.0605,3571.9407,50.582306
0.603185,20003.03,7937.502,60.3185
0.39749143,1178.8369,710.25934,39.74914
0.65538216,5995.964,2066.3162,65.538216
0.4302887,4813.461,2742.2832,43.02887
0.3283678,30079.15,20202.125,32.83678
0.48824236,8995.254,4603.3896,48.824234
0.5052934,7511.523,3715.9998,50.529343
0.13367553,10975.761,9508.57,13.367553
0.13298135,22683.133,19666.7,13.298135
0.16496429,20001.633,16702.076,16.49643
0.56881166,20988.309,9049.914,56.881165
0.656807,3887.3467,1334.1101,65.6807
0.69931644,9601.279,2886.9468,69.93164
0.5937155,9831.934,3994.5623,59.371548
0.31091633,25019.45,17240.494,31.091633
0.5554137,3306.454,1470.0042,55.541374
0.12607689,15003.294,13111.726,12.607689
0.3668448,5998.5703,3798.0261,36.68448
0.5381815,15000.611,6927.56,53.81815
0.42482477,24765.635,14244.579,42.48248
0.43213683,9022.405,5123.4917,43.213684
0.45597982,7004.872,3810.7917,45.597984
0.57992756,2530.2812,1062.9014,57.992756
0.17937951,25924.16,21273.896,17.93795
0.3492094,1003.35156,652.97174,34.92094
0.8222827,17034.076,3027.2505,82.228264
0.2783129,8000.8457,5774.107,27.83129
0.40816307,9989.933,5912.411,40.816307
0.48249623,28011.328,14495.967,48.249622
0.59467566,4998.8516,2026.1562,59.467567
0.18456541,17999.121,14677.105,18.456541
0.54748285,23998.016,10859.514,54.748283
0.57457,3005.3252,1278.5555,57.457
0.24777216,9345.487,7029.9355,24.777216
0.25098795,12668.668,9488.985,25.098795
0.40419492,12009.336,7155.223,40.41949
0.40722054,15001.032,8892.304,40.722054
0.63372946,16990.357,6223.0674,63.372948
0.53577745,10673.203,4954.7417,53.577744
0.5343338,5002.339,2329.42,53.433384
0.30388084,5591.5547,3892.3884,30.388084
0.38056317,12985.559,8043.7334,38.056316
0.6775518,19036.168,6138.178,67.75518
0.3317516,1193.6094,797.62756,33.175163
0.14286074,1472.7002,1262.3091,14.286074
0.093479164,2006.8047,1819.2103,9.347917
0.34793642,4815.3047,3139.885,34.793644
0.5039131,24027.336,11919.646,50.39131
0.16921633,20002.861,16618.05,16.921633
0.39787164,6008.8735,3618.1133,39.787163
0.3784236,5491.8096,3413.5793,37.84236
0.44633293,7220.5176,3997.7627,44.633293
0.17241493,10504.461,8693.335,17.241493
0.21719815,25739.51,20148.936,21.719814
0.20634642,4999.204,3967.6365,20.634642
0.72943085,18885.73,5109.896,72.943085
0.67816573,8567.76,2757.3987,67.816574
0.47884524,2401.1377,1251.3644,47.884525
0.36326417,20004.2,12737.39,36.326416
0.73701847,21010.316,5525.325,73.70184
