PD,Raw_Capacity,Final_Limit,Risk_Haircut_Pct
0.5341173,8542.525,3979.815,53.411728
0.33589005,996.19434,661.5826,33.589005
0.5633718,22612.678,9873.333,56.337177
0.56638193,30004.982,13010.702,56.63819
0.13314019,25025.295,21693.422,13.314019
0.17199782,23990.69,19864.344,17.199781
0.017714333,24001.354,23576.186,1.7714332
0.25554696,12001.723,8934.72,25.554695
0.2983145,20009.398,14040.305,29.831451
0.29881,7241.5293,5077.688,29.881
0.21899773,15000.491,11715.418,21.899773
0.42751923,7991.2144,4574.817,42.751923
0.59768355,12990.731,5226.385,59.768356
0.66933274,11996.456,3966.8352,66.93327
0.35305196,30016.61,19419.188,35.305195
0.5002892,4824.18,2410.6948,50.02892
0.5152637,4991.5386,2419.58,51.526367
0.22673766,9993.341,7727.474,22.673767
0.5773107,35009.16,14797.998,57.731068
0.5346024,7124.368,3315.6638,53.46024
0.40748683,10007.485,5929.5674,40.748684
0.6205014,11879.037,4508.078,62.05014
0.65807676,10001.241,3419.6567,65.80768
0.31757453,15006.774,10241.006,31.757454
0.1308659,4009.0618,3484.412,13.08659
0.57061034,5293.029,2272.7717,57.061035
0.73038,34963.492,9426.856,73.038
0.2998065,35133.92,24600.545,29.98065
0.5578612,4561.098,2016.6384,55.78612
0.19714902,20002.213,16058.796,19.714903
0.6990079,9592.042,2887.1287,69.900795
0.5132796,7996.351,3891.987,51.32796
0.3719716,21035.2,13210.702,37.19716
0.23046054,20994.105,16155.793,23.046055
0.5884862,12009.402,4942.0347,58.848618
0.3746283,35004.95,21891.104,37.46283
0.574617,15003.291,6382.1445,57.461704
0.56800556,3001.9565,1296.8285,56.800556
0.5686401,3512.448,1515.1292,56.86401
0.26617512,9996.857,7335.9424,26.617512
0.56522053,35140.164,15278.222,56.522053
0.70470864,15489.396,4573.8853,70.47086
0.5165951,11996.407,5799.1216,51.65951
0.75901407,8895.222,2143.6233,75.901405
0.49906608,34983.566,17524.453,49.90661
0.3798014,5997.938,3719.9128,37.98014
0.43652406,6002.6655,3382.3577,43.652405
0.50356716,27993.672,13896.979,50.356716
0.75787777,3509.8228,849.80615,75.78777
0.7508808,6830.217,1701.5383,75.08808
0.5441562,20005.74,9119.493,54.41562
0.098644875,14020.568,12637.512,9.864488
0.4118059,12010.284,7064.379,41.18059
0.54498285,12014.854,5466.9644,54.498283
0.33030224,15006.644,10049.916,33.030224
0.6079955,35054.902,13741.679,60.799553
0.61762816,5283.984,2020.4467,61.762817
0.27857664,5996.725,4326.1777,27.857664
0.36943275,8410.652,5303.482,36.943275
0.62863195,5004.252,1858.4193,62.863194
0.14594834,9998.655,8539.368,14.594833
0.5310607,35012.195,16418.594,53.10607
0.64142346,31364.123,11246.438,64.14235
0.082648,7003.44,6424.6196,8.2648
0.20061012,23994.01,19180.568,20.061012
0.66320884,6993.3145,2355.2864,66.320885
0.68203896,2016.0297,641.01886,68.203896
0.2466866,17142.688,12913.816,24.66866
0.30363616,14025.215,9766.652,30.363617
0.13375056,14010.949,12136.977,13.375055
0.7194927,12861.919,3607.8625,71.949265
0.3291338,35022.844,23495.643,32.91338
0.16389103,7994.1406,6683.9727,16.389103
0.75063705,11233.773,2801.2869,75.063705
0.78059036,17030.53,3736.6624,78.05904
0.4659002,12988.358,6937.08,46.590023
0.4271321,20142.686,11539.098,42.71321
0.57942957,7492.674,3151.197,57.942955
0.35241342,21551.586,13956.518,35.24134
0.7004753,10007.223,2997.4106,70.04753
0.5391934,13581.612,6258.4966,53.91934
0.187246,10492.17,8527.554,18.7246
